Garbage,49
Kings of Convenience,49
The Fiery Furnaces,48
The Unicorns,48
Slowdive,47
The Feeling,46
Semisonic,46
Kula Shaker,45
Plain White T's,45
Oh No Oh My,45
EL VY,43
Deadeye Dick,43
Velvet Revolver,42
Rusted Root,42
Lenny Kravitz,41
Florence + the Machine,40
Nick Drake,39
Gary Jules,38
Franz Ferdinand,37
BØRNS,37
Real Estate,37
Billie Holiday,37
Gingersol,37
The Indelicates,36
Joanna Connor,36
Michael Jackson,36
The Walkmen,35
Tender Trap,35
The Dears,35
The Essex Green,35
Don Henley,35
Cat Stevens,34
Embrace,34
OK Go,33
Jesse Valenzuela,32
Amy Millan,32
Eternal Summers,32
The La's,32
Billy Joel,31
Crystal Fighters,31
Bad Religion,31
Kate Miller-Heidke,31
Beirut,30
Against Me!,30
Bleachers feat. Sara Bareilles,29
Low,29
Owl City,29
Joe Jackson,29
Kasabian,29
Porcupine Tree,28
Los Campesinos!,28
Jem,28
Portal,28
Monsters of Folk,27
Ramones,27
Alex Turner,27
Pocketbooks,27
Math and Physics Club,26
Creed,26
Matlock,26
Pete Yorn,26
Dixie Chicks,25
Kasey Anderson and the Honkies,25
The Corrs,25
Chicago Public Media,25
Daughter,25
Cold,24
Hello Seahorse!,24
The Growlers,24
Train,23
Echosmith,23
George Ezra,23
Ed Sheeran,22
Jenny Owen Youngs,22
Goldenhorse,22
Incubus,22
Colin Hay,21
Jun Senoue,21
Eric Johnson,21
Antigone Rising,21
U2,21
Marié Digby,20
The Verve Pipe,18
Surfer Blood,18
Alexi Murdoch,17
The Flaming Lips,17
Rod Stewart,17
Ride,17
Hozier,17
Christina Perri,16
Anathema,16
8stops7,16
NPR,16
Gregg Alexander,16
Little Birdy,16
Lisa Loeb,15
Modern English,15
The Temptations,15
Missy Higgins,15
The Turtles,14
A.C. Newman,14
Five Times August,14
M Ward,14
Passenger feat. Birdy,14
No Age,13
M. Craft,13
Alanis Morissette,12
John Paul White,12
Jenny and Johnny,12
Funeral Suits,12
Jet,12
Kaiser Chiefs,12
Crowded House,12
The Last Goodnight,11
Tennis,11
The Foundations,11
Throw Me The Statue,11
Mavis Staples,11
Shrek,10
Veruca Salt,10
Field Report,10
Branches,10
Viva Brother,10
Hellogoodbye,10
Dire Straits,10
Audioslave,9
The Mostar Diving Club,9
Elan,9
Sarah Vaughan,9
Rebecca Watson of Curiosity Aroused,9
Procol Harum,8
The Supremes,8
Suicide Machine,8
Josh Rouse,8
The Science of Sleep,8
Sorority Noise,8
Kevin Michael,8
Peter Gabriel,8
Erasure,8
John Lennon,7
Roky Erickson,7
Sinéad O'Connor,7
Reef,7
The English Beat,7
Seu Jorge,7
Robbie Williams,7
Sons and Daughters,7
Patrick Park,7
Desiree Schell & K.O. Myers,6
The Pogues,6
Split Enz,6
Robert Johnson,6
Beck,6
Sia,6
Hall & Oates,6
ZZ Top,6
Turin Brakes,6
Band From TV,6
Stanislaw Lem,6
Meaghan Smith,5
Kite Club,5
Hello Internet,5
Alex Lahey,5
Tally Hall,5
David Bowie,5
Cheap Trick,5
Alberta Cross,5
Dori Freeman,5
Soft,4
The Waifs feat. Clare Bowditch,4
Mägo de Oz,4
Tracyanne & Danny,4
Rogue Wave,4
Pereza,4
Lucinda Williams,4
Mandy Moore,4
Switchfoot,4
Language of Flowers,4
Joseph Gordon-Levitt,4
Him,4
Frank Sinatra,4
The Crickets,3
Joe Cocker,3
Taken by Trees,3
Tash Sultana,3
Boston,3
Caitlin Rose,3
Fool's Garden,3
Patti Smith,3
Simon & Garfunkel,3
Keith Urban,3
Richard Ashcroft,3
Gabrielle Aplin,3
The Postelles,3
The Police,3
The Mamas & the Papas,3
David Summers,3
Chairlift,3
Band of Skulls,2
Neil Young,2
New Order,2
The Who,2
Mychael Danna & Rob Simonsen,2
Suzanne Vega,2
Motörhead,2
Sam Cooke,2
Guns N' Roses,2
Tim Finn,2
RPA & The United Nations of Sound,2
Sarah Blasko,2
Ben Harper,2
Courtney Barnett,2
Renée Geyer,2
Mecano,2
Sonic Youth,2
Richard Marx,2
Robert L. Forward,2
Dark Dark Dark,2
Luna,2
South,2
The Breeders,2
America,2
Kasey Chambers,2
Ella Fitzgerald & Louis Armstrong,2
The Innocence Mission,2
Mercury Rev,2
Cake,2
Status Quo,2
Doves,2
Alexandre Desplat,2
Sam Feldt,2
Ron Sexsmith,1
Unknown Mortal Orchestra,1
Youth Group,1
Amiel,1
Rata Blanca,1
P!nk,1
Ramon Mirabet,1
Ray Charles,1
Ana Carolina,1
Andrew Bird's Bowl of Fire,1
Goldfrapp,1
Ben Folds,1
James Bay,1
Kina Grannis,1
Del Shannon,1
Dexys Midnight Runners,1
Sting,1
Sufjan Stevens,1
EL VY feat. Ural Thomas,1
Jon Cleary and the Absolute Monster Gentlemen,1
The Head and the Heart,1
Jamie Lawson,1
Elvis Costello,1
Sara Storer,1
Ingrid Michaelson feat. Storyman,1
Family of the Year,1
Finley Quaye & William Orbit,1
The 1975,1
Holly Throsby,1
Here We Go Magic,1
Galaxie 500,1
The Beach Boys Feat. T. Graham Brown,1
Grizzly Bear,1
Danger Mouse and Sparklehorse feat. Gruff Rhys,1
Damien Rice & Lisa Hannigan,1
The Mowgli's,1
Sophie Auster,1
Nickel Creek,1
New Buffalo,1
Black Lips,1
Black Rebel Motorcycle Club,1
Mystery Jets feat. Laura Marling,1
She & Him feat. the Chapin Sisters,1
Bonnie Tyler,1
Broken Social Scene,1
Brooke Fraser,1
MishCatt,1
Minus the Bear,1
Cage The Elephant feat. Alison Mosshart,1
The Samples,1
Meat Puppets,1
Matt & Kim,1
Clare Bowditch & The New Slang,1
Lisa Miller,1
The Penguins,1
The New Basement Tapes,1
Rebecca Watson,1
